Time Box FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
1.080000e+03 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.080000e+03 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 1 4.545075e+04 3.481242e+04 1.045965e+03 3.193410e+04 5.553461e+03 1.690825e-01 9.110345e+02 1.938378e-14 3.033277e+02 7.970490e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.451835e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.057485e+04 7.381813e+02 8.003198e+06 8.484236e+03 1.873195e+05 6.470065e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.014338e-11
1.095000e+03 2 3.027055e+04 1.524051e+04 7.484292e+02 2.696779e+04 5.392242e+03 1.340389e-01 3.428100e-16 2.553358e-14 2.144428e+02 3.205725e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.416719e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.728949e+04 1.541340e+05 3.408425e+06 1.074874e+04 4.435446e+05 1.600421e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.562327e-11
1.095000e+03 3 3.244536e+04 2.137212e+04 9.989898e+02 3.383597e+04 5.392212e+03 1.845972e-01 3.428100e-16 2.556505e-14 3.038388e+02 3.023781e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.267901e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.673407e+04 1.167918e+05 3.980701e+06 1.068721e+04 4.588544e+05 1.612550e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.496793e-11
1.095000e+03 4 8.954908e+03 2.606034e+02 9.699576e+03 2.796301e+03 2.324478e-16 2.619396e-01 4.113720e-16 3.171947e-14 3.362029e+02 3.922768e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.855190e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.241324e+06 2.231464e+06 1.653502e+07 3.746122e+05 1.899457e+07 4.160016e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.676287e-09
1.095000e+03 5 1.082022e+04 1.437402e+02 5.010977e+03 3.229721e+03 5.548934e-09 3.399814e-01 4.113720e-16 3.171790e-14 1.648291e+02 3.603104e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.121105e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.365743e+06 1.863327e+06 3.711470e+07 4.082720e+05 2.288130e+07 3.645229e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.303915e-09
1.095000e+03 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.110000e+03 1 4.617063e+04 3.407646e+04 6.841296e+02 3.223606e+04 5.587790e+03 1.691776e-01 9.113752e+02 1.938378e-14 3.032149e+02 7.697870e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 6.318250e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.058421e+04 6.848675e+02 8.006102e+06 8.434074e+03 1.890085e+05 6.478217e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.014784e-11
1.110000e+03 2 3.065090e+04 1.474369e+04 4.894655e+02 2.720034e+04 5.425493e+03 1.341165e-01 6.229685e-17 2.553358e-14 2.143631e+02 3.109407e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.405855e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.731687e+04 1.519874e+05 3.409503e+06 1.071131e+04 4.449734e+05 1.568544e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.562703e-11
1.110000e+03 3 3.293460e+04 2.076921e+04 6.534049e+02 3.411905e+04 5.425448e+03 1.847040e-01 6.229685e-17 2.556505e-14 3.037258e+02 2.930187e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.255620e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.676370e+04 1.150607e+05 3.981754e+06 1.064764e+04 4.607272e+05 1.584504e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.497181e-11
1.110000e+03 4 9.029436e+03 2.500275e+02 6.353923e+03 2.812363e+03 3.913065e-17 2.620967e-01 6.229685e-17 3.171947e-14 3.360778e+02 3.823064e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.858181e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.244312e+06 2.229175e+06 1.655091e+07 3.749475e+05 1.897641e+07 4.103391e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.676329e-09
